| # | Product ID | Product Title | Image | Price / MOQ | Review | Lead Time | Supplier / Location | Badges | Matched Requirements | Product URL |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| 1 | 1600571366093 | 12V High Capacity 18000mAh Jump Starter Portable Starting Device Car B… | https://s.alicdn.com/@sc04/kf/H4037be13f5ee488cbfc02ce0b8af66c5x.jpg_640x640.jpg | $36 / 500 pieces | 3.7/5 |  | Dongguan Hang Che Bao Future Technology Co., Ltd. / manufacturer / Est.5 yrs | Verified | jump starter, high capacity | https://www.alibaba.com/product-detail/12V-High-Capacity-18000mAh-Jump-Starter_1600571366093.html |
| 2 | 1601517905744 | WZAUTO High Capacity Car Portable Jump Starter Auto Buster Car Emergen… | https://s.alicdn.com/@sc04/kf/H944a66b88fad403cb9ba575eadf0f8bfu.jpg_640x640.jpg | $23.14-26.93 / 10 sets | 4.7/5 |  | Yiwu Wuzhao E-Commerce Co., Ltd. / manufacturer / Est.4 yrs | Verified | jump starter, high capacity | https://www.alibaba.com/product-detail/WZAUTO-High-Capacity-Car-Portable-Jump_1601517905744.html |
| 3 | 1601447634522 | High-Capacity Jump Starter 25800mAh Battery 1500A Cranking Power Overl… | https://s.alicdn.com/@sc04/kf/H3a0c61c0adb5482fb7db45e4734b54bdx.jpg_640x640.jpg | $34 / 2 sets | 4.6/5 | Delivery by Jul 24 | Guangzhou Autolion Electronic Technology Co., Ltd. / manufacturer / Est.16 yrs |  | jump starter, high capacity | https://www.alibaba.com/product-detail/High-Capacity-Jump-Starter-25800mAh-Battery_1601447634522.html |
| 4 | 1600312682469 | High Capacity 4 USB Port Car Battery Booster Jumpstarter Kit Jumper Ca… | https://s.alicdn.com/@sc04/kf/Hbd365a1fa2234da38a3301e905af06f46.jpg_640x640.jpg | $28-34 / 1 set | 4.5/5 |  | Shenzhen Sheng Shi Tian He Electronic Technology Co., Ltd. / supplier / Est.9 yrs | Verified | jump starter, high capacity | https://www.alibaba.com/product-detail/High-Capacity-4-USB-Port-Car_1600312682469.html |
| 5 | 1601632339010 | Portable High-Capacity Jump Starter with Air Pump - Strong Car Battery… | https://s.alicdn.com/@sc04/kf/H857f4adda415496e97eb235ef6165b47t.jpeg_640x640.jpeg | $12.70-22.80 / 1 piece | 4.7/5 |  | Shenzhen Staray Electronics Technology Co., Ltd. / manufacturer / Est.1 yr |  | jump starter, high capacity | https://www.alibaba.com/product-detail/Portable-High-Capacity-Jump-Starter-with_1601632339010.html |
| 6 | 1601443305684 | 22200mWh High-Capacity Jump Starter for Cars Trucks Motorcycles 1000A … | https://s.alicdn.com/@sc04/kf/H0e41367c3dd143c8a884b6c0fcc3945ce.jpg_640x640.jpg | $17.90 / 1 piece | 4.7/5 |  | Dongguan Chuyuanneng Technology Co., Ltd. / supplier / Est.3 yrs |  | jump starter, high capacity | https://www.alibaba.com/product-detail/22200mWh-High-Capacity-Jump-Starter-for_1601443305684.html |
| 7 | 1600265652044 | BR Hot Sale 12V High Capacity Car Portable Jumpstarter Auto Buster Car… | https://s.alicdn.com/@sc04/kf/H2f371244816d47718eeea60daf4c9441V.jpg_640x640.jpg | $18.90-27 / 1 piece | 4.7/5 |  | Dongguan Borui Intelligent Technology Co., Ltd. / manufacturer / Est.6 yrs |  | jump starter, high capacity | https://www.alibaba.com/product-detail/BR-Hot-Sale-12V-High-Capacity_1600265652044.html |
| 8 | 1601630178392 | High Quality 16000 MAh 2000A peak 12V Fast Charging Supercharged Black… | https://s.alicdn.com/@sc04/kf/H9f3579085cd7485b917a835611d9ff0dJ.jpg_640x640.jpg | $36.40-43.60 / 100 pieces | 5.0/5 |  | Xi'an Haiji Yunmao Intelligent Technology Co., Ltd. / supplier / Est.1 yr |  | jump starter, high capacity | https://www.alibaba.com/product-detail/High-Quality-16000-MAh-2000A-peak_1601630178392.html |
| 9 | 1601150122683 | 29800mAh 1000A Mini Car Jump Starter With 12V Lithium Battery Power Ba… | https://s.alicdn.com/@sc04/kf/H36fe7101e20943339bcdcc37393ef744V.jpg_640x640.jpg | $26.99-31.99 / 1 piece | 3.5/5 |  | Guangdong Chuangxinjia New Energy Technology Co., Ltd. / manufacturer / Est.3 yrs |  | jump starter, high capacity | https://www.alibaba.com/product-detail/29800mAh-1000A-Mini-Car-Jump-Starter_1601150122683.html |
| 10 | 1601300874387 | M4 8000mAh Jump Starter with LED Light High Capacity Lithium Battery | https://s.alicdn.com/@sc04/kf/H2b12e91825aa43179ad93df8d3d290f8y.jpg_640x640.jpg | $21-22.50 / 1000 sets | 4.2/5 |  | Shanghai M4 Industrial Co., Ltd. / supplier / Est.8 yrs | Verified | jump starter, high capacity | https://www.alibaba.com/product-detail/M4-8000mAh-Jump-Starter-with-LED_1601300874387.html |
| 11 | 1600479863829 | High Quality Portable Super Capacitor Jump Starter/Powerbank Jump Star… | https://s.alicdn.com/@sc04/kf/H4d6019a079244403a3e23f8e357c2f655.jpg_640x640.jpg | $41.99 / 50 pieces | 4.9/5 | Delivery by Jul 24 | Guangzhou Jinyaoe Technology Co., Ltd., / manufacturer / Est.17 yrs | Verified | jump starter, high capacity | https://www.alibaba.com/product-detail/High-Quality-Portable-Super-Capacitor-Jump_1600479863829.html |
| 12 | 1601518931464 | Yesper Fast Max Jump Starter Lithium Battery Car Booster 27000mAh Fast… | https://s.alicdn.com/@sc04/kf/H5db1f7c50ef14b56a625e156073dfc20T.jpg_640x640.jpg | $89.90 / 2 pieces | 4.5/5 |  | Shenzhen Dianjia Technology Co., Ltd. / manufacturer / Est.3 yrs | Verified | jump starter, high capacity | https://www.alibaba.com/product-detail/Yesper-Fast-Max-Jump-Starter-Lithium_1601518931464.html |
| 13 | 1601432206928 | Jump Starter 12v 99800mAh High Power Car Jump Starter Power Bank / Mul… | https://s.alicdn.com/@sc04/kf/H612e1dd5f2b441ee95a41ee5443a2d8b6.jpg_640x640.jpg | $18.90-20.90 / 50 sets | 4.0/5 |  | Yiwu Changyuan Supply Chain Management Co., Ltd. / supplier / Est.4 yrs |  | jump starter, high capacity | https://www.alibaba.com/product-detail/Jump-Starter-12v-99800mAh-High-Power_1601432206928.html |
| 14 | 1601424070986 | All-in-One 16000mAh Jump Starter 1000 Cycles 5V/2A Output | https://s.alicdn.com/@sc04/kf/Ha02586ed0f764a35a6d193a4303b2c369.jpg_640x640.jpg | $15-18 / 2 sets | 4.8/5 |  | Guangzhou Autolion Electronic Technology Co., Ltd. / manufacturer / Est.14 yrs | Verified | jump starter, high capacity | https://www.alibaba.com/product-detail/All-in-One-16000mAh-Jump-Starter_1601424070986.html |
| 15 | 1601082274965 | 89800mAh High Power Car Jump Starter 12V 4USB Portable Starting Device… | https://s.alicdn.com/@sc04/kf/Hcee402feb4254d1c966cf9850ed2e8d52.jpg_640x640.jpg | $62 / 1 set | 4.0/5 |  | Guangzhou Remai Automotive Parts Co., Ltd. / manufacturer / Est.3 yrs |  | jump starter, high capacity | https://www.alibaba.com/product-detail/89800mAh-High-Power-Car-Jump-Starter_1601082274965.html |
| 16 | 1600736411934 | 2023 Newest Super High Capacity 25800mah Car Emergency Power Supply Ju… | https://s.alicdn.com/@sc04/kf/H431d18b5be854f868721c4b271af54d3C.jpg_640x640.jpg | $46.92-49.99 / 10 pieces | 4.8/5 |  | Xi'an Wanpu Import And Export Trading Co., Ltd. / supplier / Est.13 yrs | Verified | jump starter, high capacity | https://www.alibaba.com/product-detail/2023-Newest-Super-High-Capacity-25800mah_1600736411934.html |
| 17 | 1600673580632 | 12V 16800mAh High Power Jump Starter Battery Booster Power Bank / Mult… | https://s.alicdn.com/@sc04/kf/H31c7091349d5489aa7f5bcf83bd1095ay.jpg_640x640.jpg | $23.57 / 10 pieces | 4.9/5 | Delivery by Jun 19 | Guangzhou Flydee Electronic Technology Co., Ltd. / manufacturer / Est.14 yrs |  | jump starter, high capacity | https://www.alibaba.com/product-detail/12V-16800mAh-High-Power-Jump-Starter_1600673580632.html |
| 18 | 1601124961505 | 12V 21000mAh High Power Jump Starter Battery Booster Power Bank / Mult… | https://s.alicdn.com/@sc04/kf/H6759eabf9eeb4479a6313a7b06347cc9v.jpg_640x640.jpg | $18-20.99 / 10 sets | 4.9/5 |  | Guangzhou HFL Industry & Trading Co., Ltd / manufacturer / Est.3 yrs |  | jump starter, high capacity | https://www.alibaba.com/product-detail/12V-21000mAh-High-Power-Jump-Starter_1601124961505.html |
| 19 | 1601683580649 | Multifunctional Lithium Ion Battery 50800mah 600A Portable High Power … | https://s.alicdn.com/@sc04/kf/H78a24ccc3b8a49d2a9a322e6ebda13c0j.jpg_640x640.jpg | $1-20 / 1 set | 4.6/5 |  | Guangzhou Xinbaichuanhe Trading Co., Ltd. / manufacturer / Est.1 yr |  | jump starter, high capacity | https://www.alibaba.com/product-detail/Multifunctional-Lithium-Ion-Battery-50800mah-600A_1601683580649.html |
| 20 | 1601522450418 | 2025 New Designs  Jump Starter High Power Car Jump Starter Power Bank … | https://s.alicdn.com/@sc04/kf/H6833245e28ed43e6abd0f9aafef9f6311.jpg_640x640.jpg | $19.50-21 / 1 piece | 4.7/5 |  | Guangzhou Matec Electronics Co., Ltd. / manufacturer / Est.18 yrs | Verified | jump starter, high capacity | https://www.alibaba.com/product-detail/2025-New-Designs-Jump-Starter-High_1601522450418.html |
| 21 | 1600908600505 | E-FAST High Power Emergency  Jump Starter 20000mAh 800A Peak Current C… | https://s.alicdn.com/@sc04/kf/Habd43e1a157f4e908fd1d8a586a27e553.jpg_640x640.jpg | $20.89-35.89 / 2 pieces | 4.9/5 |  | Tianchang Zhiyun Electronic Technology Co., Ltd. / supplier / Est.4 yrs | Verified | jump starter, high capacity | https://www.alibaba.com/product-detail/E-FAST-High-Power-Emergency-Jump_1600908600505.html |
| 22 | 1601258235451 | Emergency Car Jump Starter Kit Car Battery Jump Starter 12V 18000mAh H… | https://s.alicdn.com/@sc04/kf/H90efe23a49854cb8833656ba039cd31fX.jpg_640x640.jpg | $18.90-27 / 1 piece | 3.8/5 |  | STARWELL TECHNOLOGY CO., LIMITED / supplier / Est.2 yrs |  | jump starter, high capacity | https://www.alibaba.com/product-detail/Emergency-Car-Jump-Starter-Kit-Car_1601258235451.html |
| 23 | 1601681383357 | Portable 10000mAh Lithium Battery Car Jump Starter 800A High Power Mul… | https://s.alicdn.com/@sc04/kf/Hf507efb4e41f454ba82a27bfbc8b269cA.jpg_640x640.jpg | $27.50-32 / 2 sets | 5.0/5 |  | Guangzhou Yashan Trading Co., Ltd. / supplier / Est.1 yr |  | jump starter, high capacity | https://www.alibaba.com/product-detail/Portable-10000mAh-Lithium-Battery-Car-Jump_1601681383357.html |
| 24 | 1600748281743 | High Power 37000mWh Car Jump Starter Power Bank  Multi-Function Portab… | https://s.alicdn.com/@sc04/kf/H8d15c4b0ca714ff8acb66ed2aff38e62I.png_640x640.png | $20.86 / 2 bags | 4.4/5 |  | Shenzhen Hongde Industrial Co., Ltd. / manufacturer / Est.5 yrs |  | jump starter, high capacity | https://www.alibaba.com/product-detail/High-Power-37000mWh-Car-Jump-Starter_1600748281743.html |
