| # | Product ID | Product Title | Image | Price / MOQ | Review | Lead Time | Supplier / Location | Badges | Matched Requirements | Product URL |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| 1 | 60840680567 | Magnetic Car Phone Holder Dashboard Mount | https://s.alicdn.com/@sc04/kf/HTB1cbOHaTHuK1RkSndVq6xVwpXaW.jpg_640x640.jpg | $1.50-2.50 / 100 pieces | 4.5/5 |  | Shenzhen Beone Handbags Manufacturing Co., Ltd. / manufacturer / Est.14 yrs | Verified | phone holder | https://www.alibaba.com/product-detail/Magnetic-Car-Phone-Holder-Dashboard_60840680567.html |
| 2 | 1601366468321 | Gravity Linkage Car Phone Holder Air Vent | https://s.alicdn.com/@sc04/kf/Hc25fdb2d76bc43ab852ddce6f6c32cc2O.jpeg_640x640.jpeg | $0.90-1.80 / 200 pieces | 4.5/5 |  | Yiwu Carclean Auto Accessory Factory / manufacturer / Est.11 yrs | Verified | phone holder | https://www.alibaba.com/product-detail/Gravity-Linkage-Car-Phone-Holder_1601366468321.html |
| 3 | 1601711222803 | Suction Cup Car Phone Holder Long Arm | https://s.alicdn.com/@sc04/kf/H378b384f6011491bbf5ed850cde61634C.jpg_640x640.jpg | $2.50-4.50 / 50 pieces | 4.9/5 |  | Shenzhen Ksd Industry Co., Ltd. / manufacturer / Est.5 yrs | Verified | phone holder | https://www.alibaba.com/product-detail/Suction-Cup-Car-Phone-Holder_1601711222803.html |
| 4 | 1601293196894 | Wireless Charging Car Phone Holder 15W | https://s.alicdn.com/@sc04/kf/H15ae700d04bc47b88792747d2a02ca78n.jpg_640x640.jpg | $8.50-12.00 / 10 pieces | 4.6/5 |  | Guangzhou Changdao Information Technology Co., Ltd. / supplier / Est.2 yrs | Verified | phone holder | https://www.alibaba.com/product-detail/Wireless-Charging-Car-Phone-Holder_1601293196894.html |
| 5 | 1601201255091 | Universal 360 Rotation Car Phone Holder | https://s.alicdn.com/@sc04/kf/H3ed36994faf4422c96e98315573bfa3aB.jpg_640x640.jpg | $1.20 / 500 pieces | 5.0/5 |  | Cangnan Yongchang Crafts Gift Co., Ltd. / manufacturer / Est.7 yrs |  | phone holder | https://www.alibaba.com/product-detail/Universal-360-Rotation-Car-Phone-Holder_1601201255091.html |
| 6 | 1601667921729 | CD Slot Car Phone Holder Stable Mount | https://s.alicdn.com/@sc04/kf/H4f97117dfc0746d5b616c8b816506b78F.jpg_640x640.jpg | $3.50-5.00 / 20 pieces |  |  | VIETNAM ONR INTERNATIONAL COMPANY LIMITED / manufacturer / Est.1 yr |  | phone holder | https://www.alibaba.com/product-detail/CD-Slot-Car-Phone-Holder-Stable_1601667921729.html |
| 7 | 1601135359244 | Rearview Mirror Car Phone Holder Mount | https://s.alicdn.com/@sc04/kf/H9b1bbb4f0a4b4baabb3041e2be1708016.png_640x640.png | $1.80-3.20 / 100 pieces | 4.7/5 |  | Yiwu Yuejia Import & Export Co., Ltd. / supplier / Est.6 yrs | Verified | phone holder | https://www.alibaba.com/product-detail/Rearview-Mirror-Car-Phone-Holder-Mount_1601135359244.html |
| 8 | 1601260030179 | Anti-Slip Sticky Pad Car Phone Holder | https://s.alicdn.com/@sc04/kf/Ha6b524305de54bf1b4517e1fed8b6ffbv.jpg_640x640.jpg | $0.50-0.80 / 1000 pieces | 4.5/5 |  | Hebei Baicaoyuan Non-Woven Products Co., Ltd. / manufacturer / Est.6 yrs |  | phone holder | https://www.alibaba.com/product-detail/Anti-Slip-Sticky-Pad-Car-Phone_1601260030179.html |
| 9 | 1600975076285 | Metal L-Shape Magnetic Car Phone Holder | https://s.alicdn.com/@sc04/kf/Hc704b60e97154fd696612ee4a4b202b7p.jpg_640x640.jpg | $0.95-1.45 / 300 pieces | 4.8/5 |  | Guangzhou Yuanhuang Engineering Machinery Parts Co., Ltd. / manufacturer / Est.7 yrs |  | phone holder | https://www.alibaba.com/product-detail/Metal-L-Shape-Magnetic-Car-Phone_1600975076285.html |
| 10 | 1601406335810 | Dashboard HUD Design Car Phone Holder | https://s.alicdn.com/@sc04/kf/H07bbc4d260cf4fabaaebee96f6ecf99aa.jpg_640x640.jpg | $2.20-3.50 / 50 pieces | 4.8/5 |  | Hangzhou Initi Imp&exp Co., Ltd. / manufacturer / Est.13 yrs | Verified | phone holder | https://www.alibaba.com/product-detail/Dashboard-HUD-Design-Car-Phone-Holder_1601406335810.html |
